id;full_name;class;age;math;bio;chemy
1;Ethan Johnson;4;23;46;10;48
2;Olivia Smith;3;18;26;89;44
3;Liam Williams;1;19;96;58;10
4;Emma Brown;1;21;27;9;56
5;Noah Jones;1;26;4;60;44
6;Ava Davis;1;18;5;98;29
7;Lucas Miller;3;20;87;11;88
8;Isabella Wilson;3;22;11;45;56
9;Mason Taylor;4;25;83;13;65
10;Sophia Anderson;3;32;76;60;40
11;Oliver Martinez;2;32;24;100;23
12;Mia Garcia;1;32;4;69;46
13;Elijah Lopez;4;31;6;70;69
14;Charlotte Martinez;2;18;51;22;91
15;James Rodriguez;4;22;58;37;50
16;Amelia Lee;2;32;22;25;87
17;Benjamin Hernandez;4;22;69;65;74
18;Harper Perez;4;32;8;33;38
19;William Scott;1;27;56;82;1
20;Evelyn Young;1;25;12;10;79
21;Alexander Gonzalez;4;28;74;5;66
22;Abigail King;4;30;46;74;64
23;Michael Moore;2;25;64;1;59
24;Elizabeth Turner;2;32;30;26;48
25;Daniel Nelson;3;23;20;57;29
26;Emily Hill;1;28;13;93;45
27;Henry Baker;4;33;37;48;47
28;Sofia Adams;1;32;85;11;22
29;Sebastian White;4;25;72;70;10
30;Madison Green;2;32;70;33;9
31;Jackson Carter;1;20;96;83;83
32;Scarlett Hall;4;31;90;53;34
33;Aiden Hughes;3;19;67;60;26
34;Grace Murphy;3;20;97;90;17
35;David Rivera;4;21;92;30;3
36;Victoria Clark;3;24;66;55;78
37;Joseph Stewart;4;19;84;63;89
38;Chloe Campbell;1;21;24;7;40
39;Samuel Mitchell;2;23;24;61;80
40;Riley Torres;3;21;73;70;96
41;Gabriel Parker;1;33;58;29;60
42;Lily Coleman;2;21;98;88;100
43;Carter Ward;2;20;72;41;52
44;Zoey Roberts;2;27;90;85;66
45;Wyatt Phillips;1;28;8;56;8
46;Layla Evans;4;33;37;63;18
47;John Watson;2;24;13;99;79
48;Lillian Foster;1;27;44;5;59
49;Grayson Ross;4;24;63;56;65
50;Natalie Perry;1;32;57;40;97
51;Dylan Cooper;1;23;55;85;72
52;Hannah Price;3;20;86;54;51
53;Levi Ramirez;1;24;1;36;36
54;Avery Powell;3;28;27;56;3
55;Isaac Sullivan;2;28;82;76;56
56;Addison Long;4;26;51;69;72
57;Julian Russell;2;23;11;83;44
58;Brooklyn Hughes;1;29;94;71;20
59;Christopher Brooks;2;32;77;19;53
60;Savannah Reed;4;19;24;39;75
61;Joshua Alexander;3;27;89;72;50
62;Aubrey Wood;2;26;37;99;3
63;Mateo Bennett;1;28;68;80;51
64;Anna Cook;3;19;6;55;53
65;Ryan Griffin;1;23;90;89;6
66;Eleanor Bailey;1;27;63;22;41
67;Nathan Coleman;2;29;4;80;9
68;Stella Richardson;4;30;55;96;88
69;Christian Bell;2;33;7;55;55
70;Claire Ward;1;22;28;9;29
71;Aaron Torres;2;28;76;36;39
72;Leah Butler;3;25;38;63;69
73;Andrew Jenkins;4;26;24;7;31
74;Skylar Barnes;1;29;47;52;44
75;Lincoln Foster;4;28;47;93;2
76;Paisley Watson;1;27;89;91;59
77;Evan Gray;2;22;61;71;41
78;Aria Ross;2;19;7;89;55
79;Nolan Reed;1;27;46;73;31
80;Alexa Powell;1;30;49;80;61
81;Hunter Mitchell;2;24;90;12;95
82;Violet Cook;2;25;15;72;79
83;Cameron Parker;4;32;15;94;53
84;Serenity Turner;1;21;100;27;71
85;Connor Bell;2;29;16;33;87
86;Kaylee Brooks;1;27;42;37;2
87;Adrian Price;2;23;23;74;19
88;Mackenzie Long;4;27;75;18;21
89;Jeremiah Morris;1;33;54;47;46
90;Jasmine Foster;2;19;38;86;39
91;Roman Hayes;3;22;55;80;30
92;Penelope Bryant;4;30;36;36;21
93;Nicholas Marshall;2;22;32;50;92
94;Lucy Fisher;2;31;4;6;36
95;Easton Dixon;1;26;55;37;59
96;Ariana Graham;2;32;58;49;81
97;Jordan Webb;1;28;93;55;88
98;Trinity Hunt;2;28;81;20;6
99;Dominic Watts;2;26;8;1;36
100;Faith Dunn;1;31;36;85;78
